Name,Age,Email,Phone Number,Address,Date of Birth,Salary,Joining Date,Department
Juan Sheppard,53,cookeddie@example.net,826-212-2620x58944,"3426 Smith Centers Suite 927, Kylemouth, RI 04301",1982-10-07,40330,2023-10-31,Marketing
Jeffrey Abbott,36,kkaiser@example.com,+1-481-579-9705x931,"954 James Plaza, Lawrencemouth, DC 22401",1975-02-14,101093,2020-09-13,Sales
Matthew Travis,66,tmadden@example.net,+1-979-828-5137x50168,"0234 Hurst Walk, Patelton, NE 69798",1985-11-08,76037,2024-07-11,HR
Cheryl Stanley,50,justinbest@example.net,593-960-3767x98742,"USS Dalton, FPO AA 30647",1989-06-30,86401,2022-09-12,Marketing
Steven Patel,42,wardstephen@example.org,962-666-0993x5503,"717 Megan Route, New Janet, FL 18322",1998-07-07,58896,2022-08-13,Product
Victoria Pearson,38,psellers@example.net,876.547.9365x900,"8847 Scott Fort Apt. 545, Dominguezhaven, ID 94206",1980-03-16,109379,2020-07-14,HR
Thomas Sanders,27,iolson@example.org,430.250.5526,"2904 George Heights, Port Karen, FM 73067",1986-11-03,92595,2021-05-25,Engineering
Jamie Gray,22,castanedamatthew@example.com,+1-485-640-3165,"USNS Johnson, FPO AP 89492",1994-08-15,110613,2024-04-02,HR
Jeffery Sanchez,31,jessica71@example.org,001-254-542-8960x83172,"8505 Turner Pass, New Sarah, NY 65098",1964-09-01,84187,2024-02-20,Product
Rebecca Johnson,64,stevenmyers@example.com,001-834-709-8967x246,"0699 Garner Station, Maryview, NJ 62653",1975-08-05,64887,2022-09-08,HR
Karen Patterson,44,nathanmorgan@example.org,001-227-485-6222x7183,"591 Smith Creek, Christopherside, NY 77139",1984-09-25,108326,2022-08-11,HR
Andrea Kelley,28,anthony20@example.net,+1-967-889-7229x89936,"403 Gregory Extensions, Lisabury, VT 20344",2005-08-16,80757,2020-12-30,Sales
Bryan Hopkins,68,angeladavis@example.net,897.734.5926x53986,"053 Suzanne Flat Apt. 725, Port Madison, VI 03279",1973-12-18,100059,2021-09-13,HR
Natalie Clark,60,youngchristopher@example.org,(552)972-8426x59091,"6923 Kimberly Well Suite 542, Port Joseburgh, RI 05403",1963-09-23,39984,2020-10-27,Product
Suzanne Barnett,55,hutchinsonwilliam@example.com,4575578653,"1897 Jeremy Parkway Suite 518, Jillhaven, DC 55060",1967-03-18,32221,2021-01-28,Marketing
Rose Sweeney,58,debbieyoung@example.net,001-884-375-3611x7760,"5489 Figueroa Avenue Suite 303, Lake Matthewhaven, VI 32746",2002-02-01,116488,2024-05-27,Engineering
William Rosario,55,lhernandez@example.org,200.354.2157,"601 Miller Center Suite 064, Millermouth, NY 60265",1963-10-21,32030,2023-07-05,Sales
Christopher Robinson,60,erica30@example.com,+1-418-550-1395x3136,"9002 Edwards Forge Suite 438, New Jaredmouth, MS 33345",2004-12-22,85543,2022-10-16,Sales
Jason Cross,65,xfoley@example.net,+1-574-703-6265,"619 Rebecca Drive Apt. 969, Port Josephborough, IL 72333",1962-03-26,42117,2021-12-06,Product
Charles Knox,22,kristen64@example.com,001-949-352-5760,"5548 Andrews Key Apt. 300, Port Kristen, VT 25260",1975-10-03,61171,2024-01-27,HR
